Category,City,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Profit Ratio,Quantity,Sales,Order Year,Order Month
Office Supplies,Houston,Darren Powers,Message Book,2013-01-03,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,2013-01-07,Standard Class,Texas,Paper,0.20,6.00,0.34,2,16.00,2013,1
Office Supplies,Naperville,Phillina Ober,Avery,2013-01-04,CA-2011-112326,60540,Avery 508,Central,Home Office,2013-01-08,Standard Class,Illinois,Labels,0.20,4.00,0.36,3,12.00,2013,1
Office Supplies,Naperville,Phillina Ober,SAFCO,2013-01-04,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,2013-01-08,Standard Class,Illinois,Storage,0.20,-65.00,-0.24,3,273.00,2013,1
Office Supplies,Naperville,Phillina Ober,GBC,2013-01-04,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,2013-01-08,Standard Class,Illinois,Binders,0.80,-5.00,-1.55,2,4.00,2013,1
Office Supplies,Philadelphia,Mick Brown,Avery,2013-01-05,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,2013-01-12,Standard Class,Pennsylvania,Art,0.20,5.00,0.25,3,20.00,2013,1
Office Supplies,Los Angeles,Lycoris Saunders,Xerox,2013-01-06,CA-2011-130813,90049,Xerox 225,West,Consumer,2013-01-08,Second Class,California,Paper,0.00,9.00,0.48,3,19.00,2013,1
Office Supplies,Athens,Jack O'Briant,Dixon,2013-01-06,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,2013-01-07,First Class,Georgia,Art,0.00,5.00,0.41,3,13.00,2013,1
Furniture,Henderson,Maria Etezadi,Global,2013-01-06,CA-2011-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,2013-01-10,Standard Class,Kentucky,Chairs,0.00,746.00,0.29,9,2574.00,2013,1
Office Supplies,Henderson,Maria Etezadi,Ibico,2013-01-06,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,2013-01-10,Standard Class,Kentucky,Binders,0.00,274.00,0.45,2,610.00,2013,1
Office Supplies,Henderson,Maria Etezadi,Rogers,2013-01-06,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,2013-01-10,Standard Class,Kentucky,Art,0.00,1.00,0.27,2,5.00,2013,1
